query,record_size,orm_cpu_energy_values,sql_cpu_energy_values,orm_cpu_energy_avg,sql_cpu_energy_avg,orm_cpu_energy_avg_joules,sql_cpu_energy_avg_joules,result_cpu_energy,orm_ram_energy_values,sql_ram_energy_values,orm_ram_energy_avg,sql_ram_energy_avg,orm_ram_energy_avg_joules,sql_ram_energy_avg_joules,result_ram_energy,orm_energy_consumed_values,sql_energy_consumed_values,orm_energy_consumed_avg,sql_energy_consumed_avg,orm_energy_consumed_avg_joules,sql_energy_consumed_avg_joules,result_energy_consumed,orm_duration_values,sql_duration_values,orm_duration_avg,sql_duration_avg,result_duration
create_customer,16000,3.65696e-10;2.39083e-09;2.65302e-09;4.23566e-09;2.25135e-09;1.75151e-09;4.37355e-09;1.94327e-09;1.62047e-09;5.13174e-09;2.61004e-09,9.4063e-10;2.54781e-09;1.69413e-09;3.11e-09;2.67624e-09;5.04568e-09;2.43298e-09;2.11184e-09;2.50801e-09;2.28262e-09;2.77651e-09,2.7e-09,2.6e-09,0.009598,0.009205,orm 4%,1.5168e-11;1.23714e-11;1.7932e-11;1.30328e-11;1.34566e-11;1.48545e-11;1.26152e-11;7.32486e-12;1.28301e-11;1.19393e-11;1.12812e-11,3.45149e-11;3.1578e-11;3.23964e-11;3.30039e-11;3.3205e-11;2.7906e-11;2.80659e-11;2.65136e-11;2.86728e-11;3.14993e-11;3.24866e-11,0.0,0.0,4.7e-05,0.000111,sql 58%,3.51322e-09;2.4032e-09;2.67095e-09;4.24869e-09;2.26481e-09;1.76637e-09;4.38616e-09;5.27644e-09;1.6333e-09;5.14368e-09;2.62132e-09,3.09082e-09;2.57939e-09;1.72653e-09;3.143e-09;2.70944e-09;5.07358e-09;2.46104e-09;2.13835e-09;2.53668e-09;2.31412e-09;2.809e-09,3.3e-09,2.8e-09,0.011758,0.010009,orm 17%,8.03513;6.40678;6.4034;6.37623;6.42535;6.40652;6.37536;6.39807;6.40365;6.32977;6.37412,8.01016;6.36984;6.41101;6.41339;6.42156;6.33043;6.39765;6.35645;6.39197;6.41166;6.39967,6.5394891705,6.5376163446,orm 0%
get_customers,16000,6.12721e-09;3.67187e-08;9.19604e-09;3.51822e-08;1.21568e-08;1.13524e-08;9.12763e-09;1.47796e-08;3.83808e-08;1.36752e-08;2.08707e-08,1.34176e-09;5.34852e-09;4.31596e-09;6.0984e-09;5.36418e-09;9.85979e-09;4.80574e-09;6.36472e-09;5.41425e-09;3.1874e-09;5.43194e-09,1.89e-08,5.2e-09,0.067931,0.018829,orm 261%,2.45625e-09;1.59153e-09;1.8407e-09;1.81136e-09;1.8066e-09;1.81205e-09;1.77575e-09;1.81877e-09;1.91105e-09;1.75992e-09;1.7167e-09,4.82491e-10;4.87539e-10;4.73916e-10;5.14167e-10;4.56123e-10;4.57567e-10;4.84639e-10;4.54358e-10;4.51171e-10;4.81625e-10;4.49812e-10,1.8e-09,5e-10,0.006644,0.0017,orm 291%,1.17268e-08;3.83102e-08;1.10367e-08;3.69936e-08;1.39634e-08;1.31644e-08;1.09034e-08;1.65984e-08;4.02919e-08;1.62639e-08;2.25874e-08,6.88214e-09;5.83605e-09;4.78988e-09;6.61256e-09;5.82031e-09;1.03174e-08;5.29038e-09;6.81908e-09;5.86542e-09;3.66903e-09;6.68621e-09,2.11e-08,6.2e-09,0.075875,0.022447,orm 238%,8.19336;6.4698;6.5176;6.47714;6.50443;6.497;6.52392;6.50886;6.47213;6.50134;6.51101,8.05596;6.42424;6.41748;6.40935;6.41691;6.35815;6.41346;6.41476;6.42113;6.41767;6.40854,6.6524157085,6.5597872688,orm 1%
get_customer_by_id,16000,4.32023e-10;2.48285e-09;2.17636e-09;1.99815e-09;2.17615e-09;1.98427e-09;2.29883e-09;2.33821e-09;6.01327e-09;2.37459e-09;2.47335e-09,5.21292e-10;1.71228e-09;8.26232e-09;2.58962e-09;1.7757e-09;2.41652e-09;1.75261e-09;2.64913e-09;2.24539e-09;1.59569e-09;2.34972e-09,2.4e-09,2.5e-09,0.008754,0.009121,sql 4%,8.15812e-11;7.96035e-11;4.15664e-11;4.82382e-11;6.04127e-11;4.68671e-11;4.59083e-11;5.1899e-11;4.30456e-11;5.91278e-11;5.29449e-11,6.60313e-11;6.52167e-11;6.52987e-11;7.18119e-11;7.04645e-11;4.67229e-11;5.5557e-11;3.8579e-11;4.08397e-11;4.78647e-11;7.16727e-11,1e-10,1e-10,0.0002,0.000209,sql 5%,2.63285e-09;2.56245e-09;2.21793e-09;2.04638e-09;2.23656e-09;2.03114e-09;2.34474e-09;2.39011e-09;6.05632e-09;2.43372e-09;2.5263e-09,2.71014e-09;1.77749e-09;8.32762e-09;2.66143e-09;1.84616e-09;2.46324e-09;1.80817e-09;2.68771e-09;2.28623e-09;1.64355e-09;2.42139e-09,2.7e-09,2.8e-09,0.009648,0.010025,sql 4%,8.0089;6.41193;6.40315;6.39854;6.38709;6.38379;6.38832;6.38776;6.32885;6.38347;6.4195,8.02376;6.38046;6.37901;6.40614;6.34807;6.3995;6.38864;6.38676;6.39167;6.38774;6.38578,6.5364824168,6.5343208523,orm 0%
fetch_top_spending_customers,16000,8.65881e-10;2.29131e-09;5.02785e-09;2.429e-09;1.80669e-09;2.46545e-09;2.80523e-09;6.09767e-09;5.20565e-09;3.01606e-09;3.10892e-09,2.19369e-09;2.36478e-09;2.36403e-09;3.10842e-09;6.90942e-09;1.31351e-09;2.13723e-09;2.66676e-09;1.49759e-09;1.8011e-09;1.79477e-09,3.2e-09,2.6e-09,0.011494,0.009213,orm 25%,1.76107e-10;9.92206e-11;1.46537e-10;1.38677e-10;9.80845e-11;1.3994e-10;1.36385e-10;1.50679e-10;8.03419e-11;1.52716e-10;1.60479e-10,9.32479e-11;1.09852e-10;1.19722e-10;1.19038e-10;1.12995e-10;5.22483e-11;7.56877e-11;9.22279e-11;5.89646e-11;1.09825e-10;1.10888e-10,1e-10,1e-10,0.000484,0.000345,orm 40%,3.17035e-09;2.39053e-09;5.17438e-09;2.56768e-09;1.90478e-09;3.49527e-09;2.94162e-09;6.24835e-09;5.28599e-09;3.16877e-09;3.2694e-09,4.41411e-09;2.47463e-09;2.48375e-09;3.22746e-09;7.02241e-09;1.36576e-09;2.21292e-09;2.75899e-09;1.55656e-09;1.91093e-09;3.59314e-09,3.6e-09,3e-09,0.012966,0.010807,orm 20%,8.0386;6.38869;6.37981;6.41006;6.38356;6.39384;6.39925;6.35779;6.33441;6.40248;6.39785,8.03307;6.39495;6.3897;6.39792;6.35497;6.41229;6.36562;6.39651;6.37938;6.40249;6.3721,6.5351209735,6.5362711401,sql 0%
update_customer_email,16000,3.94099e-10;5.93345e-08;2.85118e-09;2.61108e-09;5.54398e-09;2.4956e-09;2.82462e-09;2.91757e-09;6.36421e-09;2.3425e-09;1.75036e-09,4.02029e-10;2.77631e-09;2.50839e-09;1.92444e-09;5.33691e-09;2.75007e-09;1.68257e-09;1.73909e-09;1.36251e-09;2.60386e-09;2.29909e-09,8.1e-09,2.3e-09,0.029268,0.008308,orm 252%,6.76361e-11;3.4809e-11;6.87274e-11;5.56497e-11;6.67534e-11;6.48361e-11;7.06584e-11;6.67127e-11;6.2927e-11;6.90255e-11;6.62325e-11,3.06516e-11;4.01767e-11;3.51839e-11;3.49724e-11;3.24225e-11;3.50832e-11;3.0895e-11;3.49906e-11;1.49469e-11;3.1914e-11;3.42669e-11,1e-10,0.0,0.000227,0.000116,orm 95%,3.69576e-09;5.93693e-08;2.91991e-09;2.66673e-09;6.49567e-09;2.56044e-09;2.89528e-09;2.98429e-09;6.42714e-09;2.41152e-09;1.8166e-09,3.66514e-09;2.81648e-09;2.54358e-09;1.95942e-09;5.36933e-09;6.09047e-09;1.71346e-09;1.77408e-09;1.37746e-09;2.63577e-09;2.33335e-09,8.6e-09,2.9e-09,0.030843,0.010564,orm 192%,8.02134;6.67266;6.40893;6.41332;6.37073;6.39502;6.38547;6.38419;6.34463;6.41496;6.41735,8.03275;6.37986;6.4046;6.40655;6.35174;6.38234;6.36895;6.39252;6.36255;6.41382;6.398,6.5662362804,6.5357893901,orm 0%
update_many_contract_types,16000,2.10473e-09;3.77136e-09;1.21026e-08;4.21753e-09;3.19085e-09;5.02653e-09;4.04139e-09;2.77396e-09;1.05821e-08;5.41936e-09;4.80844e-09,4.37596e-10;2.05942e-09;2.12015e-09;3.70331e-09;6.59117e-09;3.89987e-09;2.92269e-09;2.35584e-09;2.23095e-09;1.81889e-09;2.16471e-09,5.3e-09,2.8e-09,0.018995,0.009918,orm 92%,3.56183e-10;3.89463e-10;4.87988e-10;5.49866e-10;4.92238e-10;5.14551e-10;3.96742e-10;2.51049e-10;4.92303e-10;5.0241e-10;4.99201e-10,5.19646e-12;6.85108e-12;7.75356e-12;4.96118e-12;3.74691e-12;5.7482e-12;6.48935e-12;7.54927e-12;6.77352e-12;4.72909e-12;6.66501e-12,4e-10,0.0,0.001614,2.2e-05,orm 7321%,4.48108e-09;4.16083e-09;1.25905e-08;4.7674e-09;3.68308e-09;5.54108e-09;4.43813e-09;3.025e-09;1.44335e-08;5.92177e-09;5.30765e-09,1.55594e-09;2.06627e-09;2.12791e-09;3.70827e-09;6.59492e-09;4.70631e-09;2.92918e-09;2.36339e-09;2.23772e-09;4.30407e-09;2.17137e-09,6.2e-09,3.2e-09,0.022369,0.011378,orm 97%,8.04495;6.38691;6.37954;6.41363;6.41042;6.42384;6.40628;6.40515;6.34836;6.39203;6.40493,8.00399;6.35328;6.38536;6.40436;6.34426;6.39206;6.3974;6.39211;6.42272;6.3644;6.37987,6.546912678,6.530891644,orm 0%
delete_inactive_customers,16000,4.96612e-10;3.28743e-09;3.25449e-09;3.70226e-09;3.24355e-09;1.4266e-09;2.71378e-09;4.88007e-09;4.09107e-09;2.73383e-09;5.41018e-09,4.57919e-10;5.5034e-09;3.33149e-09;3.31875e-09;5.69643e-09;3.11672e-09;2.83784e-09;3.7159e-09;2.78053e-09;2.19115e-09;1.29898e-09,3.2e-09,3.1e-09,0.011533,0.011209,orm 3%,1.39755e-10;1.36041e-10;1.59811e-10;1.6961e-10;1.62846e-10;5.92474e-11;1.63575e-10;1.65872e-10;1.39996e-10;1.44471e-10;1.54357e-10,9.50202e-11;9.74249e-11;1.30107e-10;1.23323e-10;1.09055e-10;1.13302e-10;1.04136e-10;1.25755e-10;1.01844e-10;9.97037e-11;4.04343e-11,1e-10,1e-10,0.000522,0.000373,orm 40%,6.91071e-09;3.42348e-09;3.4143e-09;3.87187e-09;3.4064e-09;1.48585e-09;2.87735e-09;5.04594e-09;4.23106e-09;2.8783e-09;5.56453e-09,2.56794e-09;5.60083e-09;3.4616e-09;3.44207e-09;5.80548e-09;3.23003e-09;2.94198e-09;3.84166e-09;2.88238e-09;2.29085e-09;1.33942e-09,3.9e-09,3.4e-09,0.014109,0.012241,orm 15%,8.04619;6.40889;6.40364;6.36406;6.40318;6.39564;6.40619;6.41421;6.36059;6.40144;6.39284,8.04929;6.40574;6.39897;6.39074;6.34165;6.40459;6.4111;6.40201;6.38116;6.40492;6.37254,6.5451689964,6.5420647576,orm 0%
delete_customer_by_id,16000,3.20574e-10;8.3794e-10;1.84242e-09;2.10136e-09;2.07473e-09;1.22037e-09;2.29662e-09;2.69527e-09;2.85669e-09;2.10298e-09;2.2912e-09,3.73859e-10;4.25686e-09;2.45166e-09;2.15394e-09;4.91329e-09;2.12151e-09;2.30972e-09;2.11656e-09;2.10324e-09;2.07595e-09;2.64851e-09,1.9e-09,2.5e-09,0.006755,0.009008,sql 25%,4.73697e-11;3.37085e-11;6.68412e-11;4.64835e-11;4.99938e-11;2.3959e-11;5.56007e-11;6.36842e-11;5.72942e-11;6.95716e-11;5.49375e-11,2.91804e-11;2.43102e-11;3.45376e-11;3.40793e-11;3.05439e-11;2.62104e-11;2.97294e-11;1.97902e-11;2.76413e-11;3.07862e-11;3.00997e-11,1e-10,0.0,0.000186,0.000104,orm 80%,1.48112e-09;8.71648e-10;1.90927e-09;2.14784e-09;2.12473e-09;1.24433e-09;3.15394e-09;2.75895e-09;2.91399e-09;2.17255e-09;2.34614e-09,1.40829e-09;4.28117e-09;2.4862e-09;2.18802e-09;4.94383e-09;2.14772e-09;2.33945e-09;2.13635e-09;2.13088e-09;2.10673e-09;2.67861e-09,2.1e-09,2.6e-09,0.007568,0.009441,sql 20%,8.01386;6.40741;6.37553;6.37973;6.39834;6.35867;6.39059;6.40317;6.33791;6.41277;6.3957,8.03035;6.37373;6.40123;6.36045;6.3371;6.41094;6.39309;6.36082;6.38902;6.39849;6.3994,6.5339728787,6.532239068,orm 0%
